# path-map.tsv — phase 01 output, consumed verbatim by phase 03.
#
# kind  from                            to
#
# kind=dir   unconditional move; `git mv from to`
# kind=cond  CONDITIONAL — phase 03's gate (D5) deletes the source unless it proves
#            the tree live. The rewrite script SKIPS a cond row whose source no
#            longer exists rather than erroring, so the gate can delete without
#            editing this map mid-phase.
#
# The import rewrite is derived from these same two columns:
#   github.com/openbox-ai/openbox-shift-left/<from>  ->  github.com/openbox-ai/openbox-shift-left/<to>
# applied longest-`from`-first, anchored on path-segment boundaries. Segment
# anchoring is required: `cli` is a textual prefix of `client`.
#
# The root module path github.com/openbox-ai/openbox-shift-left is unclaimed today
# (the repo root is not a module), so it is free for the collapsed module.
kind	from	to
# --- cmd: shipped binaries ---------------------------------------------------
dir	cli/cmd/openbox	cmd/openbox
# --- tools: dev instruments, not a release surface (D6) ----------------------
dir	cli/cmd/corpusfixture	tools/corpusfixture
dir	probes/refusal-injector	tools/refusal-injector
# --- internal/cli: the cli module, `internal` level dropped ------------------
dir	cli/internal/activation	internal/cli/activation
dir	cli/internal/aivss	internal/cli/aivss
dir	cli/internal/approver	internal/cli/approver
dir	cli/internal/atomicfile	internal/cli/atomicfile
dir	cli/internal/backend	internal/cli/backend
dir	cli/internal/corpusfixture	internal/cli/corpusfixture
dir	cli/internal/devinit	internal/cli/devinit
# depguard is NOT a cli concern -- phase 02 put the repo-wide dependency
# guards there only because, pre-collapse, `cli` is the one module that can
# reach the whole tree. It goes to internal/depguard, not internal/cli/.
dir	cli/internal/depguard	internal/depguard
dir	cli/internal/gatewaycheck	internal/cli/gatewaycheck
dir	cli/internal/gatewayemit	internal/cli/gatewayemit
dir	cli/internal/gatewayservice	internal/cli/gatewayservice
dir	cli/internal/laneservice	internal/cli/laneservice
dir	cli/internal/managed	internal/cli/managed
dir	cli/internal/prompt	internal/cli/prompt
dir	cli/internal/providers	internal/cli/providers
dir	cli/internal/telemetryemit	internal/cli/telemetryemit
# --- internal/adapters -------------------------------------------------------
dir	adapters/claude-code	internal/adapters/claude-code
dir	adapters/codex	internal/adapters/codex
dir	adapters/common/devconfig	internal/adapters/common/devconfig
dir	adapters/common/git	internal/adapters/common/git
dir	adapters/common/hookflow	internal/adapters/common/hookflow
# --- internal: the remaining libraries ---------------------------------------
dir	client	internal/client
dir	contracts/dev-event/conformance	internal/conformance
dir	decision	internal/decision
dir	gateway	internal/gateway
dir	provider	internal/provider
dir	telemetry	internal/telemetry
dir	transport	internal/transport
# `gateway/internal/dialhook` and `gateway/gatewaytest` ride the `gateway` row
# above. The nested `internal/` is PRESERVED on purpose: under root-/internal it
# still restricts importers to the internal/gateway subtree, which is the exact
# property dialhook exists to have. No explicit row — a `git mv gateway
# internal/gateway` carries them, and the derived import rewrite is prefix-correct.
# --- conditional: phase 03's gate decides (D5) -------------------------------
# Phase 03's gate has RULED (reports/gate-260830-dead-tree-verdicts.md).
# Two of the three suspects are dead; the third is REACHABLE and D5 was wrong
# about it. The rows stay `cond` so the rewrite script tolerates the deletions
# without the map being edited mid-phase.
#
# DEAD -- deleted in commit (a), so this row never applies. Nothing outside its
# own tree builds it; the plugin manifest and every installer name the engine.
cond	adapters/claude-code/cmd/openbox-cc-hook	cmd/openbox-cc-hook
# REACHABLE by a TEST path only -- adapters/common/git/integration_test.go:30
# builds it in TestMain and PANICS on failure, so 59 tests depend on it existing.
# A test path means tools/, not cmd/, by the plan's own rule.
dir	adapters/common/git/cmd/openbox-git-hook	tools/openbox-git-hook
# REACHABLE -- testbed/50-lineage.sh:26 builds and runs it, docs/lineage.md:90
# documents it as the deploy-time CLI, and its tool_name is in two committed wire
# fixtures. A PRODUCT path reaches it, so by the plan's own rule it stays in cmd/.
dir	actions/openbox-git-action/cmd/openbox-git-action	cmd/openbox-git-action
dir	actions/openbox-git-action	internal/actions/openbox-git-action
